LANGUAGE,"English","Russian"
STR_PARAM_UseMinelayer,"Use Minelayer","Используем Миноукладчик"
STR_PARAM_UseMinelayer0,"No","Нет"
STR_PARAM_UseMinelayer1,"Yes","Да"
STR_PARAM_UsePrice,"Price for REPAiR/REAMMO","Цена на ремонт\боекомплект"
STR_PARAM_MaxAir,"Groups of Enemy Air:","Групп вражеского воздуха:"
STR_PARAM_GroupsTownVeh,"Enemy vehicles in town:","Вражеской техники в городе:"
STR_PARAM_GroupsTownInf,"Enemy infantry groups in town:","Групп вражеской пехоты в городе:"
STR_PARAM_GroupsTownAA,"Enemy AA groups in town:","ПВО в городе:"
STR_PARAM_TownForts,"Fortifications in town:","Укрепления в городе:"
STR_PARAM_TownForts0,"No","Нет"
STR_PARAM_TownForts1,"Yes","Да"
STR_PARAM_RandomTown,"Only big towns or random choice","Только крупные города или случайный выбор"
STR_PARAM_RandomTown0,"Random choice","Случайный выбор"
STR_PARAM_RandomTown1,"Balota-Cherno-Elektro-Kamyshovo-Solnich-Berezino-Airfield","Балота-Черно-Электро-Камышо-Солнеч-Берез-Аэродром"
STR_PARAM_RandomTown2,"Cherno-Elektro-Solnich-Krasnostav","Черно-Электро-Солнеч-Красно"
STR_PARAM_haljavaVert,"Use MI-8 respawn","Использовать бесплатный МИ-8"
STR_PARAM_haljavaVert0,"No","Нет"
STR_PARAM_haljavaVert1,"Yes","Да"
STR_PARAM_TKL_Limit,"TeamKill Limit","Кол-во ТимКиллов"
STR_PRESET_Su34_00,"X-29 x6; R-73 x4; S-8T x40","X-29 x6; Р-73 x4; С-8Т x40"
STR_PRESET_Su34_01,"X-29 x4; R-73 x6; S-8T x40","X-29 x4; Р-73 x6; С-8Т x40"
STR_PRESET_Su34_02,"X-29 x8; R-73 x2; S-8T x40","X-29 x8; Р-73 x2; С-8Т x40"
STR_PRESET_Su34_03,"FAB-250 x2; R-73 x8; S-8T x40","ФАБ-250 x2; Р-73 x8; С-8Т x40"
STR_PRESET_Su34_04,"FAB-250 x4; R-73 x6; S-8T x40","ФАБ-250 x4; Р-73 x6; С-8Т x40"
STR_PRESET_Su34_05,"FAB-250 x6; R-73 x4; S-8T x40","ФАБ-250 x6; Р-73 x4; С-8Т x40"
STR_PRESET_Su34_06,"FAB-250 x8; R-73 x2; S-8T x40","ФАБ-250 x8; Р-73 x2; С-8Т x40"
STR_PRESET_Su34_07,"FAB-250 x10; S-8T x40","ФАБ-250 x10; С-8Т x40 "
STR_PRESET_Su34_08,"R-73 x10; S-8T x40","  Р-73 x10; С-8Т x40 "
STR_PRESET_Su39_00,"FAB-250 x4; R-73 x2; S-8T x80","ФАБ-250 x4; Р-73 x2; С-8Т x80"
STR_PRESET_Su39_01,"X-29 x4; R-73 x2; S-8T x80","X-29 x4; Р-73 x2; С-8Т x80"
STR_PRESET_Su39_02,"X-29 x6; R-73 x2; S-8 AT x40","X-29 x6; Р-73 x2; С-8Т x40"
STR_PRESET_Su39_03,"FAB-250 x6; R-73 x2; S-8 AT x40","ФАБ-250 x6; Р-73 x2; С-8Т x40"
STR_PRESET_Mi24V_00,"YakB; Sturm x4; S-8COM x80","ЯкБ; Штурм x4; С-8КОМ x80"
STR_PRESET_Mi24V_01,"GsH-23L; Ataka-V x4; Igla x2; S-8COM x80","ГШ-23Л; Атака-В x4; Игла x2; С-8КОМ х80"
STR_PRESET_Mi24V_02,"GsH-23L; Igla x4; S-8COM x80","ГШ-23Л; Игла x4; С-8КОМ х80"
STR_PRESET_F35B_00,"Bomb F35 x2; Sidewinder x2","GBU-12 x2; Сайндвиндер x2"
STR_PRESET_F35B_01,"Maverick x4; Sidewinder x2","Мэврик x4; Сайндвиндер x2"
STR_PRESET_F35B_02,"Maverick x2; Sidewinder x4","Мэврик x2; Сайндвиндер x4"
STR_PRESET_F35B_03," Hellfire x8 "," Хэлфаер x8 "
STR_PRESET_F35B_04," Sidewinder x 8 "," Сайндвиндер x8 "
STR_PRESET_A10_00,"Maverick x2; Bomb A10 x4; Sidewinder x2; FFARx14","Мэврик x2;GBU-12 x4; Сайндвиндер x2; нар х14"
STR_PRESET_A10_01,"Mk82Bomb x6; Sidewinder x2; FFARx14","Мк82 x6; Сайндвиндер x2; нар х14"
STR_PRESET_A10_02,"Maverick x6;Sidewinderx2; FFARx14","Мэврик x6; Сайндвиндер x2; нар х14"
STR_PRESET_A10_03,"Hellfire x8;Sidewinder x2; FFARx14","Хэлфаер x8; Сайндвиндер x2; ннар х14"
STR_PRESET_Mi24P_00," Sturm x4; Igla x2; S-8COM x40"," Штурм x4; Игла x2; С-8КОМ x40"
STR_PRESET_Mi24P_01,"Ataka-V x4; FAB-250 x2; S-8COM x40","Атака-В x4; ФАБ-250 x2; С-8КОМ x40"
STR_PRESET_AV8B2_00,"MK82 x6;FFAR x14;Sidewinder x2","МК82 x6; нар х14; Сайндвиндер x2"
STR_PRESET_AV8B2_01,"Maverickx6;FFAR x14;Sidewinder x2","Мэврик x6;нар14;Сайндвиндер x2"
STR_PRESET_AV8B2_02,"FFAR x14; 8Rnd Hellfire;Sidewinder x2","нар14;Хэлфаеры x8;Сайндвиндер x2"
STR_PRESET_Ka52Black_00," Standard "," Стандарт "
STR_PRESET_Ka52Black_01," Vikhr x12; R-73 x2","Вихрь x12, Р-73 x2, нар x40"
STR_PRESET_L39_TK_EP1_00," Standard "," Стандарт(пушка+нары) "
STR_PRESET_L39_TK_EP1_01,"GsH-23L; FAB-250 x2 ;S-8T x64; R-73 x2","ГШ-23Л; нар x 64; ФАБ-250 x2; Р-73 x2"
STR_PRESET_L39_TK_EP1_02,"GsH-23L; FAB-250 x4; S-8T x64; ","ГШ-23Л; нар x 64; ФАБ-250 x4 "
STR_PRESET_D30_RU_00,"Sh 122 HE","Фугасные (сильное взрывчатое вещество)"
STR_PRESET_D30_RU_01,"Sh 122 WP","Белые фосфорные (“Willie Pete”)"
STR_PRESET_D30_RU_02,"Sh 122 LASER","Снаряд с лазерным наведением"
STR_PRESET_M119_US_EP1_00,"M119 HE","Фугасные (сильное взрывчатое вещество)"
STR_PRESET_M119_US_EP1_01,"M119 WP","Белые фосфорные (“Willie Pete”)"
STR_PRESET_M119_US_EP1_02,"M119 LASER","Снаряд с лазерным наведением"
STR_PRESET_M252_US_EP1_00," M252 HE","Фугасные (сильное взрывчатое вещество)"
STR_PRESET_M252_US_EP1_01," M252 WP","Белые фосфорные (“Willie Pete”)"
STR_PRESET_2b14_82mm_00," Sh 82 HE","Фугасные (сильное взрывчатое вещество)"
STR_PRESET_2b14_82mm_01," Sh 82 WP","Белые фосфорные (“Willie Pete”)"
STR_PRESET_AH64D_00,"Standart"," Стандарт "
STR_PRESET_AH64D_01,"FFAR x38; Sidewinder 8","Нар x38; Сайндвиндер x8"
STR_PRESET_AH64D_02,"FFAR x38; Hellfire x8;Sidewinder x2","Нар х38; Хэлфаер x8; Сайндвиндер x2"
STR_WF_Gameplay_MissleCamera,"Gameplay: Missle Camera","Режим: Видеокамера на управл. ракетах"
STR_DLG_Loading,"Loading...","Загрузка..."
str_ep1_location_nagara1oilfield,"nagara oilfield","Месторождение Нагара"
STR_TKL_CREATING_A_NEW_RECORD,"TEAM KILLER LOCK SYSTEM: CREATING A NEW RECORD.","ТимКилл: Создание новой записи"
STR_TKL_RECORD_ALREADY_EXIST,"RECORD ALREADY EXIST.","Запись уже существует"
STR_TKL_LIST_UPDATED,"TKL LIST UPDATED EVERY 5MIN (CTRL+V to paste)","Список обновляется каждые 5 минут (CTRL+V to paste)"
STR_TKL_LIMIT_%1/%2,"TEAM KILL LIMIT %1/%2","Кол-во ТимКиллов в игре %1/%2"
STR_TKL_BANNED,"TEAM KILLER LOCK SYSTEM: BANNED!","ВЫ В БАНЕ!!!"
STR_TKL_NAME_PUNISH_%1,"The player %1 punished","Игрок %1 наказан"
STR_TKL_BLACK_FADED,"NO TEAM KILLERS!\nYOUR GAME IS LOCKED!\n(YOU CAN NOT JOIN UNTIL SERVER RESTARTS)\n[ALT]+[F4] => EXIT","СТРЕЛЬБА ПО СВОИМ!\nВ ЭТОЙ ИГРЕ ВЫ ЗАБЛОКИРОВАНЫ!\n( ВОЙТИ ЗАНОВО МОЖНО ПОСЛЕ ПЕРЕЗАГРУЗКИ МИССИИ НА СЕРВЕРЕ )\n[ALT]+[F4] => ЕДИНСТВЕННЫЙ ВЫХОД"
STR_TKL_ACT_FORGIVE_KILLER:_%1,"FORGIVE KILLER: %1","ПОМИЛОВАТЬ: %1"
STR_TKL_ACT_PUNISH_KILLER:_%1,"PUNISH KILLER: %1","НАКАЗАТЬ: %1"
STR_TKL_KILLED_A_COLLEAGUE:_%1/%2\n[LOCKED:_%3],"YOU KILLED A COLLEAGUE: %1/%2\n[LOCKED: %3]\n\n[ALT]+[F4] => EXIT","СТРЕЛЬБА ПО СВОИМ: %1/%2\n[ОКОНЧАНИЕ БЛОКИРОВКИ ЧЕРЕЗ: %3]\n\n[ALT]+[F4] => ЗАКРЫТЬ ИГРУ"
STR_TKL_FORGIVE_KILLER,"\n\n\n\nFORGIVE KILLER?\n(Use action menu)\n%1","\n\n\n\nПОМИЛОВАТЬ ТИМКИЛЛЕРА?\n(действие в меню)\n%1"
STR_TKL_PUNISH_KILLER,"\n\n\n\nPUNISH KILLER?\n(Use action menu)\n%1","\n\n\n\nНАКАЗАТЬ ТИМКИЛЛЕРА?\n(действие в меню)\n%1"
str_location_abc,"Chertov castle","Чертов Замок"
STR_PARAM_CountFriendlyAircraft,"The number of friendly combat aircraft","Количество дружественной боевой авиации"
STR_PARAM_CFA,"off","откл"
STR_PARAM_UFS_NO,"no","нет"
STR_PARAM_UFS_YES,"yes","да"
STR_PARAM_LimitCFA,"Impossible: maximum number %1","Невозможно: достигнуто максимальное кол-во %1"
STR_PARAM_PointersBots,"Pointers Bots","Указатели ботов"
STR_AI_NAME,"ai","бот"

STR_gosa_purchase,"purchase","покупка"
STR_gosa_teleportation,"teleportation","телепортация"
STR_gosa_maintain_equipment,"maintain equipment","сохранить снаряжение"
STR_gosa_dismiss_unit,"dismiss the selected unit","уволить выбранных подчиненных"
STR_gosa_leave_the_squad,"leave the squad","покинуть отряд"
STR_gosa_car_flip,"car flip","перевернуть автомобиль"
STR_gosa_setTerrainGrid,"set Terrain Grid","настройка травы"
STR_gosa_setViewDistance,"set View Distance","настройка дальности обзора"
STR_gosa_join_the_squad,"join the squad","присоединиться к отряду"
STR_gosa_saved,"saved","сохранено"
STR_gosa_CannotTeleport,"You can not teleport to a moving object","нельзя телепортироваться на движущийся объект"
STR_gosa_Situation,"need to translate","Ситуация"
STR_gosa_Situation2,"need to translate","
Сценарий не завершен, поэтому этот текст может не иметь смысла.<br/><br/>
Цель сценария - простой бой с ботами, сконцентрированный в одной точке.<br/><br/>
Большая часть ботов пытается отбить точку, другие патрулируют местность.<br/><br/>
У противников есть пво и радар новой разработки, летайте пониже.<br/><br/>
В нашей армии лишь инженеров, а не всех бойцов обучили полевому ремонту техники.<br/><br/>
Тоже самое с медиками, если вас ранят в ногу санитара может не быть рядом.<br/><br/>
Возрождение может быть прямо на поле боя, в этом случае база имеет мало смысла, режим выбирается при старте.<br/><br/>
С помощью мобильных баз можно строить большую базу, но стройка еще не доработана и частенько глючит.<br/><br/>
Покупка техники и ящиков оружия доступна у точек возрождения и у построенных объектов базы.<br/><br/>
Между точками возрождения, казармами или госпиталями вам можно телепортироваться.<br/><br/>
Можно сохранять вооружение при возрождении (для этого нужно нажать 0-8- и т.д.).<br/><br/>
С помощью грузовиков утилизаторов можно удалять уничтоженную технику.<br/><br/>
Вы можете присоединится к другому отряду или покинуть его с помощью меню 0-8 commandingMenu.<br/><br/>
Если долго удерживать точку то она сменится.<br/><br/>
"
STR_gosa_Сontacts,"Сontacts","Контакты"
STR_gosa_Сontacts2,"The latest version of the script can be downloaded from the link https://github.com/completely-burned/glowing-octo-shame-arma2<br/>
You can leave your wishes by reference https://discord.gg/cc3ewg3 or https://github.com/completely-burned/glowing-octo-shame-arma2/discussions","
Последнюю версию сценария можно скачать по ссылке https://github.com/completely-burned/glowing-octo-shame-arma2<br/>
Пожелания можно оставить по ссылке https://discord.gg/cc3ewg3 или https://github.com/completely-burned/glowing-octo-shame-arma2/discussions"
STR_gosa_heli_transport,"air transportation","воздушный транспорт"
STR_gosa_heli_transport_move,"%1 in transit","%1 в пути"
STR_friendly_vehicles_only,"friendly vehicles only","только дружественные транспортные средства"
STR_gosa_cheat_detected,"cheat detected","чит обнаружен"
STR_gosa_debug_notice,"debug script version","отладочная версия сценария"
